event_id,event_name,category,signal_direction,signal_strength,time_horizon,confidence_impact,keywords,description
cb_rate_hike_announced,Central Bank Rate Hike Announced,Monetary Policy,bullish,strong,1day,0.85,"rate hike, interest rate increase, policy tightening, raised rates, basis points increase, hawkish decision, rate raised","Central bank announces an increase in key interest rates, typically bullish for currency"
cb_rate_cut_announced,Central Bank Rate Cut Announced,Monetary Policy,bearish,strong,1day,0.85,"rate cut, interest rate decrease, policy easing, cut rates, basis points decrease, dovish decision, rate lowered, monetary easing","Central bank announces a decrease in key interest rates, typically bearish for currency"
cb_rate_hold_hawkish,Central Bank Holds Rates with Hawkish Stance,Monetary Policy,bullish,moderate,3day,0.65,"rates unchanged, held rates, hawkish hold, future tightening, inflation vigilance, ready to act, higher for longer",Central bank maintains current rates but signals potential future increases
cb_rate_hold_dovish,Central Bank Holds Rates with Dovish Stance,Monetary Policy,bearish,moderate,3day,0.65,"rates unchanged, held rates, dovish hold, future easing, dovish guidance, monitoring data, ready to cut",Central bank maintains current rates but signals potential future decreases
cb_governor_hawkish_speech,Central Bank Governor Hawkish Speech,Monetary Policy,bullish,moderate,1day,0.55,"hawkish comments, inflation concerns, tightening needed, vigilant on prices, upside risks, prepared to tighten",Central bank official makes hawkish comments about future policy direction
cb_governor_dovish_speech,Central Bank Governor Dovish Speech,Monetary Policy,bearish,moderate,1day,0.55,"dovish comments, growth concerns, easing warranted, downside risks, supportive policy, prepared to ease",Central bank official makes dovish comments about future policy direction
cb_forward_guidance_shift,Central Bank Forward Guidance Shift,Monetary Policy,neutral,moderate,1week,0.7,"forward guidance, policy outlook, rate path, future trajectory, guidance changed, revised expectations",Central bank changes its communication about future policy direction
inflation_beats_expectations,Inflation Above Expectations,Economic Indicator,bullish,strong,1day,0.8,"CPI above, inflation rises, price pressures, core CPI, HICP above, inflation accelerates, hotter than expected","Consumer price inflation comes in higher than market expectations, suggesting potential rate hikes"
inflation_misses_expectations,Inflation Below Expectations,Economic Indicator,bearish,strong,1day,0.8,"CPI below, inflation falls, price pressures ease, disinflation, HICP below, inflation decelerates, cooler than expected","Consumer price inflation comes in lower than market expectations, suggesting potential rate cuts"
gdp_growth_beats,GDP Growth Above Expectations,Economic Indicator,bullish,moderate,3day,0.75,"GDP above, growth beats, economic expansion, stronger growth, GDP accelerates, economy expands","GDP growth exceeds forecasts, indicating strong economic performance"
gdp_growth_misses,GDP Growth Below Expectations,Economic Indicator,bearish,moderate,3day,0.75,"GDP below, growth disappoints, economic contraction, weaker growth, GDP contracts, economy shrinks, negative growth","GDP growth falls short of forecasts, indicating weak economic performance"
employment_beats,Employment Data Above Expectations,Economic Indicator,bullish,moderate,1day,0.7,"jobs beat, employment rises, NFP above, payrolls beat, unemployment falls, jobless rate drops, strong labor market","Employment figures exceed expectations, suggesting strong labor market"
employment_misses,Employment Data Below Expectations,Economic Indicator,bearish,moderate,1day,0.7,"jobs miss, employment falls, NFP below, payrolls disappoint, unemployment rises, jobless rate increases, weak labor market","Employment figures fall short of expectations, suggesting weak labor market"
pmi_manufacturing_beats,Manufacturing PMI Above Expectations,Economic Indicator,bullish,weak,1day,0.5,"PMI above, manufacturing expansion, factory activity rises, ISM manufacturing, production increases","Manufacturing PMI exceeds forecasts, indicating sector expansion"
pmi_manufacturing_misses,Manufacturing PMI Below Expectations,Economic Indicator,bearish,weak,1day,0.5,"PMI below, manufacturing contraction, factory activity falls, ISM manufacturing drops, production declines","Manufacturing PMI falls short of forecasts, indicating sector contraction"
pmi_services_beats,Services PMI Above Expectations,Economic Indicator,bullish,weak,1day,0.5,"services PMI above, services expansion, ISM services, services activity rises","Services PMI exceeds forecasts, indicating sector expansion"
pmi_services_misses,Services PMI Below Expectations,Economic Indicator,bearish,weak,1day,0.5,"services PMI below, services contraction, ISM services drops, services activity falls","Services PMI falls short of forecasts, indicating sector contraction"
retail_sales_beats,Retail Sales Above Expectations,Economic Indicator,bullish,weak,1day,0.55,"retail sales beat, consumer spending rises, sales increase, stronger consumption","Retail sales exceed forecasts, indicating strong consumer demand"
retail_sales_misses,Retail Sales Below Expectations,Economic Indicator,bearish,weak,1day,0.55,"retail sales miss, consumer spending falls, sales decline, weaker consumption","Retail sales fall short of forecasts, indicating weak consumer demand"
trade_balance_improvement,Trade Balance Improvement,Economic Indicator,bullish,weak,3day,0.45,"trade surplus widens, exports rise, deficit narrows, trade balance improves, current account surplus","Trade balance shows improvement, indicating stronger external position"
trade_balance_deterioration,Trade Balance Deterioration,Economic Indicator,bearish,weak,3day,0.45,"trade deficit widens, exports fall, surplus narrows, trade balance worsens, current account deficit","Trade balance shows deterioration, indicating weaker external position"
geopolitical_crisis_safe_haven,Geopolitical Crisis Benefiting Safe Haven,Geopolitical Event,bullish,strong,1day,0.75,"safe-haven demand, risk aversion, geopolitical tensions, military conflict, war escalates, flight to safety, safe-haven flows","Geopolitical crisis drives safe-haven flows to USD, JPY, CHF"
geopolitical_crisis_commodity_currency,Geopolitical Crisis Harming Risk Currencies,Geopolitical Event,bearish,strong,1day,0.75,"risk-off, risk aversion, commodity currencies fall, AUD weakens, CAD weakens, emerging markets sell-off",Geopolitical crisis drives capital away from risk-sensitive currencies
oil_price_surge,Oil Price Surge,Commodity Market,bullish,moderate,1day,0.6,"oil prices surge, crude rallies, energy shock, oil supply disruption, WTI rises, Brent climbs","Sharp increase in oil prices, typically bullish for CAD, NOK, bearish for importers"
oil_price_collapse,Oil Price Collapse,Commodity Market,bearish,moderate,1day,0.6,"oil prices crash, crude plunges, energy prices fall, oil glut, WTI falls, Brent drops","Sharp decrease in oil prices, typically bearish for CAD, NOK, bullish for importers"
gold_surge_usd_weakness,Gold Surge Indicating USD Weakness,Commodity Market,bearish,weak,3day,0.4,"gold rallies, XAU/USD rises, precious metals gain, gold safe-haven bid","Gold price increase, often negatively correlated with USD strength"
tariff_announcement_imposed,Tariff Announcement Imposed,Trade Policy,neutral,moderate,1week,0.65,"tariffs imposed, import duties, trade barriers, reciprocal tariffs, tariff hike, customs duties","New tariffs announced, can be bullish (inflation) or bearish (growth) depending on context"
tariff_removal_announcement,Tariff Removal or Reduction,Trade Policy,bullish,weak,1week,0.5,"tariffs removed, trade barriers lifted, tariff reduction, duties eliminated","Tariff removal or reduction, generally positive for affected currencies"
trade_deal_signed,Trade Deal Signed,Trade Policy,bullish,moderate,1week,0.7,"trade agreement, free trade deal, bilateral agreement, trade pact signed, FTA signed","Trade agreement signed between countries, typically positive for involved currencies"
trade_war_escalation,Trade War Escalation,Trade Policy,bearish,moderate,1week,0.65,"trade war, retaliation, tit-for-tat tariffs, trade tensions escalate, protectionism","Escalation in trade tensions between countries, typically negative for involved currencies"
government_collapse,Government Collapse or Political Crisis,Political Event,bearish,strong,1week,0.8,"government falls, coalition collapse, political crisis, snap election, no confidence vote, political instability","Major political instability or government collapse, typically very bearish"
election_result_pro_business,Pro-Business Election Result,Political Event,bullish,moderate,1week,0.65,"pro-business victory, market-friendly result, reform mandate, centrist victory","Election result favoring market-friendly policies, typically bullish"
election_result_uncertainty,Election Result Creating Uncertainty,Political Event,bearish,moderate,1week,0.6,"hung parliament, coalition uncertainty, contested election, political deadlock","Election result creating political uncertainty, typically bearish"
fiscal_stimulus_announced,Major Fiscal Stimulus Announced,Fiscal Policy,bullish,moderate,1week,0.7,"fiscal stimulus, government spending, infrastructure package, fiscal expansion, stimulus plan","Large fiscal stimulus package announced, typically bullish for currency"
austerity_measures_announced,Austerity Measures Announced,Fiscal Policy,bearish,moderate,1week,0.65,"austerity, spending cuts, fiscal tightening, budget cuts, fiscal consolidation","Government announces spending cuts or austerity, typically bearish short-term"
sovereign_debt_downgrade,Sovereign Credit Rating Downgrade,Credit Event,bearish,strong,1week,0.85,"credit downgrade, rating cut, Moody's downgrade, S&P downgrade, Fitch downgrade, sovereign downgrade","Credit rating agency downgrades sovereign debt, very bearish signal"
sovereign_debt_upgrade,Sovereign Credit Rating Upgrade,Credit Event,bullish,moderate,1week,0.7,"credit upgrade, rating raised, Moody's upgrade, S&P upgrade, Fitch upgrade, sovereign upgrade","Credit rating agency upgrades sovereign debt, bullish signal"
central_bank_intervention_buy,Central Bank Currency Intervention (Buying),Central Bank Action,bullish,strong,1day,0.8,"FX intervention, currency intervention, central bank buying, support for currency, defending currency","Central bank intervenes to support currency by buying it, strong bullish signal"
central_bank_intervention_sell,Central Bank Currency Intervention (Selling),Central Bank Action,bearish,strong,1day,0.8,"FX intervention sell, currency intervention sell, central bank selling, curbing strength, weakening currency","Central bank intervenes to weaken currency by selling it, strong bearish signal"
qe_announced,Quantitative Easing Program Announced,Monetary Policy,bearish,strong,1week,0.85,"QE announced, asset purchases, quantitative easing, bond buying program, balance sheet expansion","Central bank announces QE program, typically very bearish for currency"
qt_announced,Quantitative Tightening Announced,Monetary Policy,bullish,moderate,1week,0.7,"QT announced, balance sheet reduction, quantitative tightening, tapering, asset sales","Central bank announces QT or balance sheet reduction, typically bullish"
market_sentiment_risk_on,Market Risk-On Sentiment,Market Sentiment,neutral,weak,1day,0.4,"risk-on, risk appetite, equity rally, VIX falls, risk assets rise","Broad market risk-on sentiment, positive for high-yielding and commodity currencies"
market_sentiment_risk_off,Market Risk-Off Sentiment,Market Sentiment,neutral,weak,1day,0.4,"risk-off, risk aversion, equity selloff, VIX spikes, safe-haven bid","Broad market risk-off sentiment, positive for safe-haven currencies"
energy_supply_disruption,Energy Supply Disruption,Supply Shock,neutral,strong,3day,0.75,"energy shock, supply disruption, Strait of Hormuz, pipeline shutdown, LNG shortage, natural gas crisis","Major energy supply disruption, bearish for energy importers, bullish for exporters"
natural_disaster_impact,Major Natural Disaster Economic Impact,Natural Event,bearish,moderate,1week,0.6,"earthquake, tsunami, hurricane, natural disaster, catastrophic damage","Major natural disaster affecting economic activity, typically bearish"
banking_crisis,Banking Sector Crisis,Financial Crisis,bearish,strong,2week,0.9,"bank failure, banking crisis, credit crunch, financial stability concerns, bank run","Banking sector crisis or major bank failure, very bearish signal"
corporate_earnings_strong,Strong Corporate Earnings Season,Market Sentiment,bullish,weak,1week,0.35,"earnings beat, strong profits, corporate earnings rise, earnings season positive","Broad corporate earnings strength, mildly bullish for currency"
corporate_earnings_weak,Weak Corporate Earnings Season,Market Sentiment,bearish,weak,1week,0.35,"earnings miss, weak profits, corporate earnings fall, earnings season negative","Broad corporate earnings weakness, mildly bearish for currency"
consumer_confidence_surge,Consumer Confidence Surge,Economic Indicator,bullish,weak,3day,0.45,"consumer confidence rises, sentiment improves, confidence index beats, optimism increases","Consumer confidence index rises significantly, mildly bullish"
consumer_confidence_plunge,Consumer Confidence Plunge,Economic Indicator,bearish,weak,3day,0.45,"consumer confidence falls, sentiment deteriorates, confidence index misses, pessimism increases","Consumer confidence index falls significantly, mildly bearish"
housing_data_strong,Strong Housing Market Data,Economic Indicator,bullish,weak,3day,0.4,"housing starts rise, home sales beat, building permits increase, property market strengthens","Housing market indicators exceed expectations, mildly bullish"
housing_data_weak,Weak Housing Market Data,Economic Indicator,bearish,weak,3day,0.4,"housing starts fall, home sales miss, building permits decline, property market weakens","Housing market indicators fall short of expectations, mildly bearish"
unexpected_data_revision,Major Economic Data Revision,Economic Indicator,neutral,moderate,1day,0.55,"data revision, revised higher, revised lower, upward revision, downward revision",Significant revision to previously reported economic data
