date,source,url,currency,title,generator_id,predicted_direction,predicted_magnitude,confidence,pair_context,reasoning
2026-03-05,,https://www.fxstreet.com/news/boe-dmp-survey-uk-firms-anticipate-easing-inflation-improved-employment-outlook-202603051025,GBP,"BoE DMP Survey: UK firms anticipate easing inflation, improved employment outlook",keyword-sentiment-v1.1,neutral,,0.3,,GBP mixed signals; markets consolidating
2026-03-05,,https://www.marketwatch.com/story/a-piece-of-hollywood-history-gorgeous-palm-springs-estate-once-owned-by-cary-grant-listed-for-12-7-million-e2a312f5?mod=mw_rss_topstories,GBP,A piece of Hollywood history: Gorgeous Palm Springs estate once owned by Cary Grant listed for $12.7 million,keyword-sentiment-v1.1,neutral,,0.3,,GBP mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/boe-dmp-survey-uk-firms-anticipate-easing-inflation-improved-employment-outlook-202603051025,GBP,"BoE DMP Survey: UK firms anticipate easing inflation, improved employment outlook",llm-sentiment-v1,bullish,medium,0.8,,"The article reports that UK firms anticipate easing inflation and an improved employment outlook, which suggests economic strength and a potentially hawkish stance from the Bank of England, both of which are positive for the British pound."
2026-03-05,,https://www.marketwatch.com/story/a-piece-of-hollywood-history-gorgeous-palm-springs-estate-once-owned-by-cary-grant-listed-for-12-7-million-e2a312f5?mod=mw_rss_topstories,GBP,A piece of Hollywood history: Gorgeous Palm Springs estate once owned by Cary Grant listed for $12.7 million,llm-sentiment-v1,neutral,null,0.2,,The article is about a real estate property once owned by Cary Grant and does not contain any information related to the British Pound or the FX market.
2026-03-05,,https://finance.yahoo.com/news/iran-conflict-could-turn-canada-010000187.html,CAD,Iran Conflict Could Turn Canada Into the Market’s Most Reliable Oil Supplier,keyword-sentiment-v1.1,neutral,,0.3,,CAD mixed signals; markets consolidating
2026-03-05,,https://finance.yahoo.com/news/iran-conflict-could-turn-canada-010000187.html,CAD,Iran Conflict Could Turn Canada Into the Market’s Most Reliable Oil Supplier,llm-sentiment-v1,bullish,medium,0.8,,"The article suggests that the Iran conflict could turn Canada into a more reliable oil supplier, which would be positive for the Canadian dollar as it would increase demand for CAD-denominated assets and strengthen the Canadian economy."
2026-03-05,,https://investinglive.com/news/china-further-outlines-five-year-plan-says-to-implement-more-proactive-macro-policies-20260305/,CNY,"China further outlines five-year plan, says to implement more proactive macro policies",keyword-sentiment-v1.1,bullish,small,0.75,,CNY showing strength with 1 positive indicators
2026-03-05,,https://investinglive.com/news/china-floats-some-tax-changes-20260305/,CNY,China floats some tax changes,keyword-sentiment-v1.1,neutral,,0.3,,CNY mixed signals; markets consolidating
2026-03-05,,https://investinglive.com/news/china-five-year-plan-calls-for-more-proactive-fiscal-policy-20260305/,CNY,China five-year plan calls for more proactive fiscal policy,keyword-sentiment-v1.1,neutral,,0.3,,CNY mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/china-pragmatic-growth-stance-and-fx-stability-td-securities-202603050912,CNY,China: Pragmatic growth stance and FX stability – TD Securities,keyword-sentiment-v1.1,neutral,,0.3,,CNY mixed signals; markets consolidating
