date,source,url,currency,title,estimator_id,time_horizon,horizon_days,valid_to_date,confidence,reasoning
2026-02-28,NewsAPI (Cointelegraph),https://cointelegraph.com/news/yen-stablecoins-japan-crypto-ambitions,JPY,Why yen stablecoins are key to Japan’s crypto ambitions,llm-horizon-v1-default,1month,30,2026-03-30,0.8,"The article discusses structural changes in the Japanese crypto market, with regulators and conglomerates working to bring the yen into DeFi. This suggests a longer-term, strategic shift that is likely to have a market impact over the next month or more."
2026-02-28,FXStreet,https://www.fxstreet.com/news/breaking-us-and-israel-attack-iran-risk-aversion-to-sweep-global-markets-202602280856,USD,"Breaking: US and Israel attack Iran, risk aversion to sweep global markets",llm-horizon-v1-default,2week,14,2026-03-14,0.8,"The article describes a major geopolitical event with potential for significant market disruption. While the initial reaction would be immediate, the medium-term impact on markets is likely to last for 2 weeks as the situation unfolds and investors assess the broader implications."
2026-02-28,Yahoo Finance,https://finance.yahoo.com/news/dollar-tree-inc-dltr-bull-195704629.html,USD,"Dollar Tree, Inc. (DLTR): A Bull Case Theory",llm-horizon-v1-default,1month,30,2026-03-30,0.8,"The article discusses a 'bull case theory' for Dollar Tree, Inc. (DLTR), which suggests longer-term structural changes or trends that could impact the company's performance. This indicates a longer-term market impact beyond immediate or short-term reactions."
2026-02-28,Yahoo Finance,https://finance.yahoo.com/news/est-e-lauder-companies-inc-194903189.html,AUD,The Estée Lauder Companies Inc. (EL): A Bull Case Theory,llm-horizon-v1-default,1month,30,2026-03-30,0.8,"The article discusses a 'bull case theory' for Estée Lauder, which suggests a longer-term, structural view on the company's prospects. The lack of immediate market-moving events or data releases indicates a focus on longer-term trends and fundamentals."
2026-02-28,NewsAPI (GlobeNewswire),https://www.globenewswire.com/news-release/2026/02/27/3246346/28124/en/Canada-Prepaid-Card-and-Digital-Wallet-Intelligence-Report-2026-2030-26-26-Billion-Market-Intensifies-as-Bank-Led-Digital-Propositions-and-Embedded-Infrastructure-Entrants-Expand-C.html,CAD,Canada Prepaid Card and Digital Wallet Intelligence Report 2026-2030: $26.26 Billion Market Intensifies as Bank-Led Digital Propositions and Embedded Infrastructure Entrants Expand Competition,llm-horizon-v1-default,1month,30,2026-03-30,0.8,"The article discusses long-term trends and structural changes in the Canadian prepaid card and digital wallet market, indicating a longer-term impact horizon of up to 1 month."
2026-02-28,NewsAPI (Financial Post),https://financialpost.com/pmn/business-pmn/gold-rises-on-chinese-trading-with-us-iran-tensions-in-focus,CNY,Gold Rises on Chinese Trading With US-Iran Tensions in Focus,llm-horizon-v1-default,3day,3,2026-03-03,0.8,"The article mentions immediate price action in gold and silver markets, which suggests a short-term impact. Additionally, the focus on US-Iran tensions points to a 2-3 day market reaction window before the news becomes less relevant."
2026-02-28,NewsAPI (BusinessLine),https://www.thehindubusinessline.com/markets/forex/rupee-falls-8-paise-to-settle-at-9099-against-us-dollar/article70683777.ece,USD,Rupee falls 8 paise to settle at 90.99 against US dollar,llm-horizon-v1-default,1day,1,2026-03-01,0.8,"The article discusses an immediate intraday move in the rupee against the US dollar, indicating a short-term, immediate market impact."
2026-02-28,NewsAPI (Financial Post),https://financialpost.com/globe-newswire/fairfax-completes-c650-million-senior-notes-offering,USD,Fairfax Completes C$650 Million Senior Notes Offering,llm-horizon-v1-default,1week,7,2026-03-07,0.8,"The article discusses a completed debt offering by Fairfax Financial, which is a near-term corporate finance event that is likely to have a short-term impact on the market, particularly around the time of the announcement and pricing."
2026-02-28,NewsAPI (GlobeNewswire),https://www.globenewswire.com/news-release/2026/02/27/3246501/0/en/Fairfax-Completes-C-650-Million-Senior-Notes-Offering.html,USD,Fairfax Completes C$650 Million Senior Notes Offering,llm-horizon-v1-default,1week,7,2026-03-07,0.8,"The article discusses a senior notes offering by Fairfax Financial, which is a medium-term corporate finance event. The impact is likely to be felt in the near-term as the market digests the news and assesses its implications for Fairfax's financial position and future plans."
2026-02-28,NewsAPI (GlobeNewswire),https://www.globenewswire.com/news-release/2026/02/27/3246413/0/en/Endeavour-Silver-Announces-Q4-2025-Financial-Results-Earnings-Call-at-10AM-PST-1PM-EST-Today.html,USD,Endeavour Silver Announces Q4 2025 Financial Results; Earnings Call at 10AM PST (1PM EST) Today,llm-horizon-v1-default,1month,30,2026-03-30,0.8,"The article discusses Endeavour Silver's Q4 2025 financial results, which is a longer-term structural update. The release of quarterly earnings is a medium-term event, and the 1-month time horizon captures the primary market impact window."
2026-02-28,NewsAPI (Github.com),https://github.com/paolobietolini/caddy-x402,USD,Show HN: Caddy plugin that charges AI crawlers real USDC to access your site,llm-horizon-v1-default,1week,7,2026-03-07,0.8,"The article describes a new Caddy plugin that charges AI crawlers for accessing websites, which is a near-term technical development that could impact website traffic and monetization in the coming weeks."
2026-02-28,NewsAPI (GlobeNewswire),https://www.globenewswire.com/news-release/2026/02/27/3246377/28124/en/Sweden-Prepaid-Card-and-Digital-Wallet-Intelligence-Databook-Report-2026-A-9-96-Billion-Market-by-2030-Market-Dynamics-Size-and-Forecast-and-Share-Statistics-2021-2030.html,SEK,"Sweden Prepaid Card and Digital Wallet Intelligence Databook Report 2026: A $9.96 Billion Market by 2030 - Market Dynamics, Size and Forecast, and Share Statistics 2021-2030",llm-horizon-v1-default,1month,30,2026-03-30,0.8,"The article discusses long-term market trends and growth opportunities in Sweden's prepaid card and digital wallet market, suggesting a longer-term impact horizon of up to 1 month."
2026-02-28,NewsAPI (Financial Post),https://financialpost.com/globe-newswire/ipsen-receives-positive-chmp-opinion-for-ojemda-for-the-treatment-as-monotherapy-of-children-with-relapsed-or-refractory-braf-altered-pediatric-low-grade-glioma,EUR,Ipsen receives positive CHMP opinion for Ojemda® for the treatment as monotherapy of children with relapsed or refractory BRAF-altered pediatric low-grade glioma,llm-horizon-v1-default,1month,30,2026-03-30,0.8,"The approval of Ojemda® for the treatment of relapsed or refractory BRAF-altered pediatric low-grade glioma is a significant structural change in the treatment landscape, which is likely to have a longer-term impact on the pharmaceutical market."
2026-02-28,NewsAPI (GlobeNewswire),https://www.globenewswire.com/news-release/2026/02/27/3246394/0/en/Ipsen-receives-positive-CHMP-opinion-for-Ojemda-for-the-treatment-as-monotherapy-of-children-with-relapsed-or-refractory-BRAF-altered-pediatric-low-grade-glioma.html,EUR,Ipsen receives positive CHMP opinion for Ojemda® for the treatment as monotherapy of children with relapsed or refractory BRAF-altered pediatric low-grade glioma,llm-horizon-v1-default,1month,30,2026-03-30,0.8,The approval of a new drug for the treatment of a rare pediatric condition is a structural change that is likely to have a longer-term impact on the pharmaceutical market and Ipsen's stock performance.
2026-02-28,NewsAPI (GlobeNewswire),https://www.globenewswire.com/news-release/2026/02/27/3246397/28124/en/Saudi-Arabia-Prepaid-Card-and-Digital-Wallet-Market-Intelligence-Report-2026-stc-bank-and-Urpay-Intensify-Competition-Through-Apple-Pay-Mada-Integration-and-Card-Linked-Stored-Valu.html,AUD,Saudi Arabia Prepaid Card and Digital Wallet Market Intelligence Report 2026: stc bank and Urpay Intensify Competition Through Apple Pay/Mada Integration and Card-Linked Stored-Value Strategies,llm-horizon-v1-default,1month,30,2026-03-30,0.8,"The article discusses long-term trends and opportunities in the Saudi Arabian prepaid card and digital wallet market, indicating a longer-term market impact beyond the immediate or short-term."
